customer_id,checkNumber,paymentDate,amount
121,DB889831,16-02-2003,50218.95
121,FD317790,28-10-2003,1491.38
121,KI831359,04-11-2004,17876.32
121,MA302151,28-11-2004,34638.14
124,AE215433,05-03-2005,101244.59
124,BG255406,28-08-2004,85410.87
124,CQ287967,11-04-2003,11044.30
124,ET64396,16-04-2005,83598.04
124,HI366474,27-12-2004,47142.70
124,HR86578,02-11-2004,55639.66
124,KI131716,15-08-2003,111654.40
124,LF217299,26-03-2004,43369.30
124,NT141748,25-11-2003,45084.38
128,DI925118,28-01-2003,10549.01
128,FA465482,18-10-2003,24101.81
128,FH668230,24-03-2004,33820.62
128,IP383901,18-11-2004,7466.32
129,DM826140,08-12-2004,26248.78
129,ID449593,11-12-2003,23923.93
129,PI42991,09-04-2003,16537.85
131,CL442705,12-03-2003,22292.62
131,MA724562,02-12-2004,50025.35
131,NB445135,11-09-2004,35321.97
141,AU364101,19-07-2003,36251.03
141,DB583216,01-11-2004,36140.38
141,DL460618,19-05-2005,46895.48
141,HJ32686,30-01-2004,59830.55
141,ID10962,31-12-2004,116208.40
141,IN446258,25-03-2005,65071.26
141,JE105477,18-03-2005,120166.58
103,HQ336336,19-10-2004,6066.78
103,JM555205,05-06-2003,14571.44
103,OM314933,18-12-2004,1676.14
112,BO864823,17-12-2004,14191.12
112,HQ55022,06-06-2003,32641.98
112,ND748579,20-08-2004,33347.88
114,GG31455,20-05-2003,45864.03
114,MA765515,15-12-2004,82261.22
114,NP603840,31-05-2003,7565.08
114,NR27552,10-03-2004,44894.74
119,DB933704,14-11-2004,19501.82
119,LN373447,08-08-2004,47924.19
119,NG94694,22-02-2005,49523.67
121,DB889831,16-02-2003,50218.95
121,FD317790,28-10-2003,1491.38
121,KI831359,04-11-2004,17876.32
121,MA302151,28-11-2004,34638.14
124,AE215433,05-03-2005,101244.59
124,BG255406,28-08-2004,85410.87
124,CQ287967,11-04-2003,11044.30
124,ET64396,16-04-2005,83598.04
124,HI366474,27-12-2004,47142.70
124,HR86578,02-11-2004,55639.66
124,KI131716,15-08-2003,111654.40
124,LF217299,26-03-2004,43369.30
124,NT141748,25-11-2003,45084.38
128,DI925118,28-01-2003,10549.01
128,FA465482,18-10-2003,24101.81
128,FH668230,24-03-2004,33820.62
128,IP383901,18-11-2004,7466.32
129,DM826140,08-12-2004,26248.78
129,ID449593,11-12-2003,23923.93
129,PI42991,09-04-2003,16537.85
131,CL442705,12-03-2003,22292.62
131,MA724562,02-12-2004,50025.35
131,NB445135,11-09-2004,35321.97
141,AU364101,19-07-2003,36251.03
141,DB583216,01-11-2004,36140.38
141,DL460618,19-05-2005,46895.48
141,HJ32686,30-01-2004,59830.55
141,ID10962,31-12-2004,116208.40
141,IN446258,25-03-2005,65071.26
141,JE105477,18-03-2005,120166.58
103,HQ336336,19-10-2004,6066.78
103,JM555205,05-06-2003,14571.44
103,OM314933,18-12-2004,1676.14
112,BO864823,17-12-2004,14191.12
112,HQ55022,06-06-2003,32641.98
112,ND748579,20-08-2004,33347.88
114,GG31455,20-05-2003,45864.03
114,MA765515,15-12-2004,82261.22
114,NP603840,31-05-2003,7565.08
114,NR27552,10-03-2004,44894.74
119,DB933704,14-11-2004,19501.82
119,LN373447,08-08-2004,47924.19
119,NG94694,22-02-2005,49523.67
121,DB889831,16-02-2003,50218.95
121,FD317790,28-10-2003,1491.38
121,KI831359,04-11-2004,17876.32
121,MA302151,28-11-2004,34638.14
124,AE215433,05-03-2005,101244.59
124,BG255406,28-08-2004,85410.87
124,CQ287967,11-04-2003,11044.30
124,ET64396,16-04-2005,83598.04
124,HI366474,27-12-2004,47142.70
124,HR86578,02-11-2004,55639.66
124,KI131716,15-08-2003,111654.40
124,LF217299,26-03-2004,43369.30
124,NT141748,25-11-2003,45084.38
128,DI925118,28-01-2003,10549.01
128,FA465482,18-10-2003,24101.81
128,FH668230,24-03-2004,33820.62
128,IP383901,18-11-2004,7466.32
129,DM826140,08-12-2004,26248.78
129,ID449593,11-12-2003,23923.93
129,PI42991,09-04-2003,16537.85
131,CL442705,12-03-2003,22292.62
131,MA724562,02-12-2004,50025.35
131,NB445135,11-09-2004,35321.97
141,AU364101,19-07-2003,36251.03
141,DB583216,01-11-2004,36140.38
141,DL460618,19-05-2005,46895.48
141,HJ32686,30-01-2004,59830.55
141,ID10962,31-12-2004,116208.40
141,IN446258,25-03-2005,65071.26
141,JE105477,18-03-2005,120166.58
103,HQ336336,19-10-2004,6066.78
103,JM555205,05-06-2003,14571.44
103,OM314933,18-12-2004,1676.14
112,BO864823,17-12-2004,14191.12
112,HQ55022,06-06-2003,32641.98
112,ND748579,20-08-2004,33347.88
114,GG31455,20-05-2003,45864.03
114,MA765515,15-12-2004,82261.22
114,NP603840,31-05-2003,7565.08
114,NR27552,10-03-2004,44894.74
119,DB933704,14-11-2004,19501.82
119,LN373447,08-08-2004,47924.19
119,NG94694,22-02-2005,49523.67
121,DB889831,16-02-2003,50218.95
121,FD317790,28-10-2003,1491.38
121,KI831359,04-11-2004,17876.32
121,MA302151,28-11-2004,34638.14
124,AE215433,05-03-2005,101244.59
124,BG255406,28-08-2004,85410.87
124,CQ287967,11-04-2003,11044.30
124,ET64396,16-04-2005,83598.04
124,HI366474,27-12-2004,47142.70
124,HR86578,02-11-2004,55639.66
124,KI131716,15-08-2003,111654.40
124,LF217299,26-03-2004,43369.30
124,NT141748,25-11-2003,45084.38
128,DI925118,28-01-2003,10549.01
128,FA465482,18-10-2003,24101.81
128,FH668230,24-03-2004,33820.62
128,IP383901,18-11-2004,7466.32
129,DM826140,08-12-2004,26248.78
129,ID449593,11-12-2003,23923.93
129,PI42991,09-04-2003,16537.85
131,CL442705,12-03-2003,22292.62
131,MA724562,02-12-2004,50025.35
131,NB445135,11-09-2004,35321.97
141,AU364101,19-07-2003,36251.03
141,DB583216,01-11-2004,36140.38
141,DL460618,19-05-2005,46895.48
141,HJ32686,30-01-2004,59830.55
141,ID10962,31-12-2004,116208.40
141,IN446258,25-03-2005,65071.26
141,JE105477,18-03-2005,120166.58
103,HQ336336,19-10-2004,6066.78
103,JM555205,05-06-2003,14571.44
103,OM314933,18-12-2004,1676.14
112,BO864823,17-12-2004,14191.12
112,HQ55022,06-06-2003,32641.98
112,ND748579,20-08-2004,33347.88
114,GG31455,20-05-2003,45864.03
114,MA765515,15-12-2004,82261.22
114,NP603840,31-05-2003,7565.08
114,NR27552,10-03-2004,44894.74
119,DB933704,14-11-2004,19501.82
119,LN373447,08-08-2004,47924.19
119,NG94694,22-02-2005,49523.67
121,DB889831,16-02-2003,50218.95
121,FD317790,28-10-2003,1491.38
121,KI831359,04-11-2004,17876.32
121,MA302151,28-11-2004,34638.14
124,AE215433,05-03-2005,101244.59
124,BG255406,28-08-2004,85410.87
124,CQ287967,11-04-2003,11044.30
124,ET64396,16-04-2005,83598.04
124,HI366474,27-12-2004,47142.70
124,HR86578,02-11-2004,55639.66
124,KI131716,15-08-2003,111654.40
124,LF217299,26-03-2004,43369.30
124,NT141748,25-11-2003,45084.38
128,DI925118,28-01-2003,10549.01
128,FA465482,18-10-2003,24101.81
128,FH668230,24-03-2004,33820.62
128,IP383901,18-11-2004,7466.32
129,DM826140,08-12-2004,26248.78
129,ID449593,11-12-2003,23923.93
129,PI42991,09-04-2003,16537.85
131,CL442705,12-03-2003,22292.62
131,MA724562,02-12-2004,50025.35
131,NB445135,11-09-2004,35321.97
141,AU364101,19-07-2003,36251.03
141,DB583216,01-11-2004,36140.38
141,DL460618,19-05-2005,46895.48
141,HJ32686,30-01-2004,59830.55
141,ID10962,31-12-2004,116208.40
141,IN446258,25-03-2005,65071.26
141,JE105477,18-03-2005,120166.58
103,HQ336336,19-10-2004,6066.78
103,JM555205,05-06-2003,14571.44
103,OM314933,18-12-2004,1676.14
112,BO864823,17-12-2004,14191.12
112,HQ55022,06-06-2003,32641.98
112,ND748579,20-08-2004,33347.88
114,GG31455,20-05-2003,45864.03
114,MA765515,15-12-2004,82261.22
114,NP603840,31-05-2003,7565.08
114,NR27552,10-03-2004,44894.74
119,DB933704,14-11-2004,19501.82
119,LN373447,08-08-2004,47924.19
119,NG94694,22-02-2005,49523.67
121,DB889831,16-02-2003,50218.95
121,FD317790,28-10-2003,1491.38
121,KI831359,04-11-2004,17876.32
121,MA302151,28-11-2004,34638.14
124,AE215433,05-03-2005,101244.59
124,BG255406,28-08-2004,85410.87
124,CQ287967,11-04-2003,11044.30
124,ET64396,16-04-2005,83598.04
124,HI366474,27-12-2004,47142.70
124,HR86578,02-11-2004,55639.66
124,KI131716,15-08-2003,111654.40
124,LF217299,26-03-2004,43369.30
124,NT141748,25-11-2003,45084.38
128,DI925118,28-01-2003,10549.01
128,FA465482,18-10-2003,24101.81
128,FH668230,24-03-2004,33820.62
128,IP383901,18-11-2004,7466.32
129,DM826140,08-12-2004,26248.78
129,ID449593,11-12-2003,23923.93
129,PI42991,09-04-2003,16537.85
131,CL442705,12-03-2003,22292.62
131,MA724562,02-12-2004,50025.35
131,NB445135,11-09-2004,35321.97
141,AU364101,19-07-2003,36251.03
141,DB583216,01-11-2004,36140.38
141,DL460618,19-05-2005,46895.48
141,HJ32686,30-01-2004,59830.55
141,ID10962,31-12-2004,116208.40
141,IN446258,25-03-2005,65071.26
141,JE105477,18-03-2005,120166.58
103,HQ336336,19-10-2004,6066.78
103,JM555205,05-06-2003,14571.44
103,OM314933,18-12-2004,1676.14
112,BO864823,17-12-2004,14191.12
112,HQ55022,06-06-2003,32641.98
112,ND748579,20-08-2004,33347.88
114,GG31455,20-05-2003,45864.03
114,MA765515,15-12-2004,82261.22
114,NP603840,31-05-2003,7565.08
114,NR27552,10-03-2004,44894.74
119,DB933704,14-11-2004,19501.82
119,LN373447,08-08-2004,47924.19
119,NG94694,22-02-2005,49523.67
121,DB889831,16-02-2003,50218.95
121,FD317790,28-10-2003,1491.38
121,KI831359,04-11-2004,17876.32
121,MA302151,28-11-2004,34638.14
124,AE215433,05-03-2005,101244.59
124,BG255406,28-08-2004,85410.87
124,CQ287967,11-04-2003,11044.30
124,ET64396,16-04-2005,83598.04
124,HI366474,27-12-2004,47142.70
124,HR86578,02-11-2004,55639.66
124,KI131716,15-08-2003,111654.40
124,LF217299,26-03-2004,43369.30
124,NT141748,25-11-2003,45084.38
128,DI925118,28-01-2003,10549.01
128,FA465482,18-10-2003,24101.81
128,FH668230,24-03-2004,33820.62
128,IP383901,18-11-2004,7466.32
129,DM826140,08-12-2004,26248.78
129,ID449593,11-12-2003,23923.93
129,PI42991,09-04-2003,16537.85
131,CL442705,12-03-2003,22292.62
131,MA724562,02-12-2004,50025.35
131,NB445135,11-09-2004,35321.97
141,AU364101,19-07-2003,36251.03
141,DB583216,01-11-2004,36140.38
141,DL460618,19-05-2005,46895.48
141,HJ32686,30-01-2004,59830.55
141,ID10962,31-12-2004,116208.40
141,IN446258,25-03-2005,65071.26
141,JE105477,18-03-2005,120166.58
103,HQ336336,19-10-2004,6066.78
103,JM555205,05-06-2003,14571.44
103,OM314933,18-12-2004,1676.14
112,BO864823,17-12-2004,14191.12
112,HQ55022,06-06-2003,32641.98
112,ND748579,20-08-2004,33347.88
114,GG31455,20-05-2003,45864.03
114,MA765515,15-12-2004,82261.22
114,NP603840,31-05-2003,7565.08
114,NR27552,10-03-2004,44894.74
119,DB933704,14-11-2004,19501.82
119,LN373447,08-08-2004,47924.19
119,NG94694,22-02-2005,49523.67
121,DB889831,16-02-2003,50218.95
121,FD317790,28-10-2003,1491.38
121,KI831359,04-11-2004,17876.32
121,MA302151,28-11-2004,34638.14
124,AE215433,05-03-2005,101244.59
124,BG255406,28-08-2004,85410.87
124,CQ287967,11-04-2003,11044.30
124,ET64396,16-04-2005,83598.04
124,HI366474,27-12-2004,47142.70
124,HR86578,02-11-2004,55639.66
124,KI131716,15-08-2003,111654.40
124,LF217299,26-03-2004,43369.30
124,NT141748,25-11-2003,45084.38
128,DI925118,28-01-2003,10549.01
128,FA465482,18-10-2003,24101.81
128,FH668230,24-03-2004,33820.62
128,IP383901,18-11-2004,7466.32
129,DM826140,08-12-2004,26248.78
129,ID449593,11-12-2003,23923.93
129,PI42991,09-04-2003,16537.85
131,CL442705,12-03-2003,22292.62
131,MA724562,02-12-2004,50025.35
131,NB445135,11-09-2004,35321.97
141,AU364101,19-07-2003,36251.03
141,DB583216,01-11-2004,36140.38
141,DL460618,19-05-2005,46895.48
141,HJ32686,30-01-2004,59830.55
141,ID10962,31-12-2004,116208.40
141,IN446258,25-03-2005,65071.26
141,JE105477,18-03-2005,120166.58
103,HQ336336,19-10-2004,6066.78
103,JM555205,05-06-2003,14571.44
103,OM314933,18-12-2004,1676.14
112,BO864823,17-12-2004,14191.12
112,HQ55022,06-06-2003,32641.98
112,ND748579,20-08-2004,33347.88
114,GG31455,20-05-2003,45864.03
114,MA765515,15-12-2004,82261.22
114,NP603840,31-05-2003,7565.08
114,NR27552,10-03-2004,44894.74
119,DB933704,14-11-2004,19501.82
119,LN373447,08-08-2004,47924.19
119,NG94694,22-02-2005,49523.67
121,DB889831,16-02-2003,50218.95
121,FD317790,28-10-2003,1491.38
121,KI831359,04-11-2004,17876.32
121,MA302151,28-11-2004,34638.14
124,AE215433,05-03-2005,101244.59
124,BG255406,28-08-2004,85410.87
124,CQ287967,11-04-2003,11044.30
124,ET64396,16-04-2005,83598.04
124,HI366474,27-12-2004,47142.70
124,HR86578,02-11-2004,55639.66
124,KI131716,15-08-2003,111654.40
124,LF217299,26-03-2004,43369.30
124,NT141748,25-11-2003,45084.38
128,DI925118,28-01-2003,10549.01
128,FA465482,18-10-2003,24101.81
128,FH668230,24-03-2004,33820.62
128,IP383901,18-11-2004,7466.32
129,DM826140,08-12-2004,26248.78
129,ID449593,11-12-2003,23923.93
129,PI42991,09-04-2003,16537.85
131,CL442705,12-03-2003,22292.62
131,MA724562,02-12-2004,50025.35
131,NB445135,11-09-2004,35321.97
141,AU364101,19-07-2003,36251.03
141,DB583216,01-11-2004,36140.38
141,DL460618,19-05-2005,46895.48
141,HJ32686,30-01-2004,59830.55
141,ID10962,31-12-2004,116208.40
141,IN446258,25-03-2005,65071.26
141,JE105477,18-03-2005,120166.58
103,HQ336336,19-10-2004,6066.78
103,JM555205,05-06-2003,14571.44
103,OM314933,18-12-2004,1676.14
112,BO864823,17-12-2004,14191.12
112,HQ55022,06-06-2003,32641.98
112,ND748579,20-08-2004,33347.88
114,GG31455,20-05-2003,45864.03
114,MA765515,15-12-2004,82261.22
114,NP603840,31-05-2003,7565.08
114,NR27552,10-03-2004,44894.74
119,DB933704,14-11-2004,19501.82
119,LN373447,08-08-2004,47924.19
119,NG94694,22-02-2005,49523.67
121,DB889831,16-02-2003,50218.95
121,FD317790,28-10-2003,1491.38
121,KI831359,04-11-2004,17876.32
121,MA302151,28-11-2004,34638.14
124,AE215433,05-03-2005,101244.59
124,BG255406,28-08-2004,85410.87
124,CQ287967,11-04-2003,11044.30
124,ET64396,16-04-2005,83598.04
124,HI366474,27-12-2004,47142.70
124,HR86578,02-11-2004,55639.66
124,KI131716,15-08-2003,111654.40
124,LF217299,26-03-2004,43369.30
124,NT141748,25-11-2003,45084.38
128,DI925118,28-01-2003,10549.01
128,FA465482,18-10-2003,24101.81
128,FH668230,24-03-2004,33820.62
128,IP383901,18-11-2004,7466.32
129,DM826140,08-12-2004,26248.78
129,ID449593,11-12-2003,23923.93
129,PI42991,09-04-2003,16537.85
131,CL442705,12-03-2003,22292.62
131,MA724562,02-12-2004,50025.35
131,NB445135,11-09-2004,35321.97
141,AU364101,19-07-2003,36251.03
141,DB583216,01-11-2004,36140.38
141,DL460618,19-05-2005,46895.48
141,HJ32686,30-01-2004,59830.55
141,ID10962,31-12-2004,116208.40
141,IN446258,25-03-2005,65071.26
141,JE105477,18-03-2005,120166.58
103,HQ336336,19-10-2004,6066.78
103,JM555205,05-06-2003,14571.44
103,OM314933,18-12-2004,1676.14
112,BO864823,17-12-2004,14191.12
112,HQ55022,06-06-2003,32641.98
112,ND748579,20-08-2004,33347.88
114,GG31455,20-05-2003,45864.03
114,MA765515,15-12-2004,82261.22
114,NP603840,31-05-2003,7565.08
114,NR27552,10-03-2004,44894.74
119,DB933704,14-11-2004,19501.82
119,LN373447,08-08-2004,47924.19
119,NG94694,22-02-2005,49523.67
121,DB889831,16-02-2003,50218.95
121,FD317790,28-10-2003,1491.38
121,KI831359,04-11-2004,17876.32
121,MA302151,28-11-2004,34638.14
124,AE215433,05-03-2005,101244.59
124,BG255406,28-08-2004,85410.87
124,CQ287967,11-04-2003,11044.30
124,ET64396,16-04-2005,83598.04
124,HI366474,27-12-2004,47142.70
124,HR86578,02-11-2004,55639.66
124,KI131716,15-08-2003,111654.40
124,LF217299,26-03-2004,43369.30
124,NT141748,25-11-2003,45084.38
128,DI925118,28-01-2003,10549.01
128,FA465482,18-10-2003,24101.81
128,FH668230,24-03-2004,33820.62
128,IP383901,18-11-2004,7466.32
129,DM826140,08-12-2004,26248.78
129,ID449593,11-12-2003,23923.93
129,PI42991,09-04-2003,16537.85
131,CL442705,12-03-2003,22292.62
131,MA724562,02-12-2004,50025.35
131,NB445135,11-09-2004,35321.97
141,AU364101,19-07-2003,36251.03
141,DB583216,01-11-2004,36140.38
141,DL460618,19-05-2005,46895.48
141,HJ32686,30-01-2004,59830.55
141,ID10962,31-12-2004,116208.40
141,IN446258,25-03-2005,65071.26
141,JE105477,18-03-2005,120166.58
103,HQ336336,19-10-2004,6066.78
103,JM555205,05-06-2003,14571.44
103,OM314933,18-12-2004,1676.14
112,BO864823,17-12-2004,14191.12
112,HQ55022,06-06-2003,32641.98
112,ND748579,20-08-2004,33347.88
114,GG31455,20-05-2003,45864.03
114,MA765515,15-12-2004,82261.22
114,NP603840,31-05-2003,7565.08
114,NR27552,10-03-2004,44894.74
119,DB933704,14-11-2004,19501.82
119,LN373447,08-08-2004,47924.19
119,NG94694,22-02-2005,49523.67
121,DB889831,16-02-2003,50218.95
121,FD317790,28-10-2003,1491.38
121,KI831359,04-11-2004,17876.32
121,MA302151,28-11-2004,34638.14
124,AE215433,05-03-2005,101244.59
124,BG255406,28-08-2004,85410.87
124,CQ287967,11-04-2003,11044.30
124,ET64396,16-04-2005,83598.04
124,HI366474,27-12-2004,47142.70
124,HR86578,02-11-2004,55639.66
124,KI131716,15-08-2003,111654.40
124,LF217299,26-03-2004,43369.30
124,NT141748,25-11-2003,45084.38
128,DI925118,28-01-2003,10549.01
128,FA465482,18-10-2003,24101.81
128,FH668230,24-03-2004,33820.62
128,IP383901,18-11-2004,7466.32
129,DM826140,08-12-2004,26248.78
129,ID449593,11-12-2003,23923.93
129,PI42991,09-04-2003,16537.85
131,CL442705,12-03-2003,22292.62
131,MA724562,02-12-2004,50025.35
131,NB445135,11-09-2004,35321.97
141,AU364101,19-07-2003,36251.03
141,DB583216,01-11-2004,36140.38
141,DL460618,19-05-2005,46895.48
141,HJ32686,30-01-2004,59830.55
141,ID10962,31-12-2004,116208.40
141,IN446258,25-03-2005,65071.26
141,JE105477,18-03-2005,120166.58
103,HQ336336,19-10-2004,6066.78
103,JM555205,05-06-2003,14571.44
103,OM314933,18-12-2004,1676.14
112,BO864823,17-12-2004,14191.12
112,HQ55022,06-06-2003,32641.98
112,ND748579,20-08-2004,33347.88
114,GG31455,20-05-2003,45864.03
114,MA765515,15-12-2004,82261.22
114,NP603840,31-05-2003,7565.08
114,NR27552,10-03-2004,44894.74
119,DB933704,14-11-2004,19501.82
119,LN373447,08-08-2004,47924.19
119,NG94694,22-02-2005,49523.67
121,DB889831,16-02-2003,50218.95
121,FD317790,28-10-2003,1491.38
121,KI831359,04-11-2004,17876.32
121,MA302151,28-11-2004,34638.14
124,AE215433,05-03-2005,101244.59
124,BG255406,28-08-2004,85410.87
124,CQ287967,11-04-2003,11044.30
124,ET64396,16-04-2005,83598.04
124,HI366474,27-12-2004,47142.70
124,HR86578,02-11-2004,55639.66
124,KI131716,15-08-2003,111654.40
124,LF217299,26-03-2004,43369.30
124,NT141748,25-11-2003,45084.38
128,DI925118,28-01-2003,10549.01
128,FA465482,18-10-2003,24101.81
128,FH668230,24-03-2004,33820.62
128,IP383901,18-11-2004,7466.32
129,DM826140,08-12-2004,26248.78
129,ID449593,11-12-2003,23923.93
129,PI42991,09-04-2003,16537.85
131,CL442705,12-03-2003,22292.62
131,MA724562,02-12-2004,50025.35
131,NB445135,11-09-2004,35321.97
141,AU364101,19-07-2003,36251.03
141,DB583216,01-11-2004,36140.38
141,DL460618,19-05-2005,46895.48
141,HJ32686,30-01-2004,59830.55
141,ID10962,31-12-2004,116208.40
141,IN446258,25-03-2005,65071.26
141,JE105477,18-03-2005,120166.58
103,HQ336336,19-10-2004,6066.78
103,JM555205,05-06-2003,14571.44
103,OM314933,18-12-2004,1676.14
112,BO864823,17-12-2004,14191.12
112,HQ55022,06-06-2003,32641.98
112,ND748579,20-08-2004,33347.88
114,GG31455,20-05-2003,45864.03
114,MA765515,15-12-2004,82261.22
114,NP603840,31-05-2003,7565.08
114,NR27552,10-03-2004,44894.74
119,DB933704,14-11-2004,19501.82
119,LN373447,08-08-2004,47924.19
119,NG94694,22-02-2005,49523.67
121,DB889831,16-02-2003,50218.95
121,FD317790,28-10-2003,1491.38
121,KI831359,04-11-2004,17876.32
121,MA302151,28-11-2004,34638.14
124,AE215433,05-03-2005,101244.59
124,BG255406,28-08-2004,85410.87
124,CQ287967,11-04-2003,11044.30
124,ET64396,16-04-2005,83598.04
124,HI366474,27-12-2004,47142.70
124,HR86578,02-11-2004,55639.66
124,KI131716,15-08-2003,111654.40
124,LF217299,26-03-2004,43369.30
124,NT141748,25-11-2003,45084.38
128,DI925118,28-01-2003,10549.01
128,FA465482,18-10-2003,24101.81
128,FH668230,24-03-2004,33820.62
128,IP383901,18-11-2004,7466.32
129,DM826140,08-12-2004,26248.78
129,ID449593,11-12-2003,23923.93
129,PI42991,09-04-2003,16537.85
131,CL442705,12-03-2003,22292.62
131,MA724562,02-12-2004,50025.35
131,NB445135,11-09-2004,35321.97
141,AU364101,19-07-2003,36251.03
141,DB583216,01-11-2004,36140.38
141,DL460618,19-05-2005,46895.48
141,HJ32686,30-01-2004,59830.55
141,ID10962,31-12-2004,116208.40
141,IN446258,25-03-2005,65071.26
141,JE105477,18-03-2005,120166.58
103,HQ336336,19-10-2004,6066.78
103,JM555205,05-06-2003,14571.44
103,OM314933,18-12-2004,1676.14
112,BO864823,17-12-2004,14191.12
112,HQ55022,06-06-2003,32641.98
112,ND748579,20-08-2004,33347.88
114,GG31455,20-05-2003,45864.03
114,MA765515,15-12-2004,82261.22
114,NP603840,31-05-2003,7565.08
114,NR27552,10-03-2004,44894.74
119,DB933704,14-11-2004,19501.82
119,LN373447,08-08-2004,47924.19
